currency code,currency name
FRST,FirstCoin
XLM,Stellar
GNT,Golem-Tokens
LSK,Lisk
SNT,Status-Network-Token
VEN,VeChain
IXT,InsureX
MAX,Maxcoin
KICK,KickCoin
ZRX,0x
TNT,Tierion
MCAP,MCAP
XMR,Monero
SYS,SysCoin
QTUM,Qtum
URO,Uro
KIN,KIN
BCD,Bitcoin-Diamond
CCRB,CryptoCarbon
NDC,NeverDie-Coin
NLC2,NoLimitCoin
RISE,Rise
SNGLS,SingularDTV
AGI,SingularityNET
SHIFT,SHIFT
TRST,Trustcoin
ICN,ICONOMI
DGB,DigiByte
PPY,Peerplays
AION,Aion
ELF,aelf
LCC,Litecoin-Cash
LKK,Lykke
EOS,EOS
TIME,Time
VEE,BLOCKv
VTC,Vertcoin
TOA,ToaCoin
XZC,ZCoin
VRS,Veros
ETHOS,Ethos
REP,Augur
RLC,RLC-Token
SNC,SunContract
RRT,Recovery-Right-Tokens
EDO,Eidoo
WGR,Wagerr
BCH,Bitcoin-Cash
IOTA,IOTA
KNC,Kyber-Network
MCO,Monaco
IFT,investFeed
NEO,NEO
RDN,Raiden-Network-Token
TAAS,Taas
VIB,Viberate
XRP,Ripple
PPC,Peercoin
BUZZ,BuzzCoin
DGD,DigixDAO
MKR,Maker
BQ,bitqy
XVG,Verge
SPANK,SpankChain
HMQ,Humaniq
CVC,Civic
WAX,Wax-Token
ETP,Metaverse-Entropy
LINDA,Linda
NMC,Namecoin
R,Revain
CLOAK,CloakCoin
ATM,ATMChain
ZET,Zetacoin
RDD,ReddCoin
SIGT,Signatum
SRN,Sirin-Labs-Token
GCR,GCRCoin
NOTE,DNotes
NVC,Novacoin
OMG,OmiseGo
REQ,Request-Network
BNT,Bancor-Network-Token
INK,Ink
PPT,Populous
PRO,Propy
RCN,Ripio-Credit-Network
ADT,adToken
OBITS,Obits
POSW,PoSW-Coin
RLT,RouletteToken
UTK,UTrust
AMBER,AmberCoin
ETT,EncryptoTel
STORJ,Storj
TRC,Terracoin
BTX,Bitcore
BTC,Bitcoin
PIVX,PIVX
ZEC,Zcash
SBTC,Super-Bitcoin
XRL,Rialto
COSS,COSS
GAME,GameCredits
B3,B3Coin
LTC,Litecoin
DOGE,DogeCoin
STRAT,Stratis
IXC,iXcoin
BAT,Basic-Attention-Token
IOST,IOStoken
QAU,Quantum
NXT,Nxt
WAVES,Waves
PLBT,Polybius
QASH,QASH
SAN,Santiment-Network-Token
VPN,VPNCoin
MANA,Decentraland
HVN,Hive
GNO,Gnosis-Token
RBIES,Rubies
SNM,SONM
ETH,Ethereum
VIA,Viacoin
LRC,Loopring
ATB,ATBCoin
YOYOW,YOYOW
GAS,Gas
MNX,MinexCoin
XEM,NEM
TNB,Time-New-Bank
PRG,Paragon-Coin
DATA,DATAcoin
GRC,Gridcoin
CANN,CannabisCoin
AVT,Aventus
CFI,Cofound-it
USDT,Tether
FUN,FunFair
MTN,MedToken
PAY,TenX
EOT,EOT-Token
WGO,WavesGo
BURST,Burstcoin
PING,CryptoPing
REC,Regalcoin
UNO,Unobtanium
TKN,TokenCard
ANT,Aragon
BITUSD,BitUSD
EMB,Embercoin
START,Startcoin
BITB,BitBean
DASH,Dash
EMC,Emercoin
TRX,Tronix
ARK,Ark
EDG,Edgeless
BTS,BitShares
ETC,Ethereum-Classic
XBY,XtraBYtes
2GIVE,GiveCoin
BTG,Bitcoin-Gold
BNB,Binance-Coin
VOISE,Voise
